userId,sessionId,gameVersion,gameVersionCode,configDocId,gameParams_add_amount,gameParams_bucket_empty_amount,gameParams_initial_bucket_level,gameParams_initial_vial_level,gameParams_optimal_level,mainGameParams_mainGameRoundDuration,mainGameParams_mainGameRounds,mainGameParams_mainGameVelocities_FAST,mainGameParams_mainGameVelocities_MEDIUM,mainGameParams_mainGameVelocities_SLOW,participantId,startTimeFormatted,trainingParams_trainingRoundDuration,trainingParams_trainingRounds,trainingParams_trainingVelocities_FAST,trainingParams_trainingVelocities_MEDIUM,trainingParams_trainingVelocities_SLOW,versionConfig_bucketBehavior,versionConfig_description,versionConfig_enabled,versionConfig_hasPhases,versionConfig_name,versionConfig_numPhases,versionConfig_numVials
030,030_1780686448846,one_vial_alternating,0.1,game_config_030_1780686448846,10,15,0,50,50,15,36,2,1.8,1.6,030,"Jun 5, 2026, 03:07:28.846 PM",1,1,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
0333,0333_1780710955765,one_vial_alternating,0.1,game_config_0333_1780710955765,10,15,0,50,50,15,36,2,1.8,1.6,0333,"Jun 5, 2026, 09:55:55.765 PM",10,10,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
033333,033333_1780767108972,one_vial_alternating,0.1,game_config_033333_1780767108972,10,15,0,50,50,15,36,2,1.8,1.6,033333,"Jun 6, 2026, 01:31:48.972 PM",10,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
04,04_1780678436234,one_vial_alternating,0.1,game_config_04_1780678436234,10,15,0,50,50,15,2,2,1.8,1.6,04,"Jun 5, 2026, 12:53:56.234 PM",10,2,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
05,05_1780678519510,one_vial_alternating,0.1,game_config_05_1780678519510,10,15,0,50,50,15,2,2,1.8,1.6,05,"Jun 5, 2026, 12:55:19.510 PM",10,2,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
06,06_1780678803092,one_vial_alternating,0.1,game_config_06_1780678803092,10,15,0,50,50,15,2,2,1.8,1.6,06,"Jun 5, 2026, 01:00:03.092 PM",10,2,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
09,09_1780679264068,one_vial_alternating,0.1,game_config_09_1780679264068,10,15,0,50,50,15,2,2,1.8,1.6,09,"Jun 5, 2026, 01:07:44.068 PM",10,2,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
1234,1234_1780712121990,one_vial_alternating,0.1,game_config_1234_1780712121990,10,15,0,50,50,15,36,2,1.8,1.6,1234,"Jun 5, 2026, 10:15:21.990 PM",10,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
125,125_1780709581363,one_vial_always_bucket,0.2,game_config_125_1780709581363,10,15,0,50,50,15,36,2,1.8,1.6,125,"Jun 5, 2026, 09:33:01.363 PM",5,1,1.6,1.4,1.2,constant,Single vial that always has storage but has abundance/deprivation phases,true,true,One Vial - Always Bucket,4,1
2432,2432_1780767219715,one_vial_alternating,0.1,game_config_2432_1780767219715,10,15,0,50,50,15,36,2,1.8,1.6,2432,"Jun 6, 2026, 01:33:39.715 PM",10,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
24322,24322_1780767261784,one_vial_alternating,0.1,game_config_24322_1780767261784,10,15,0,50,50,15,36,2,1.8,1.6,24322,"Jun 6, 2026, 01:34:21.784 PM",10,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
24362,24362_1780767318336,one_vial_alternating,0.1,game_config_24362_1780767318336,10,15,0,50,50,15,36,2,1.8,1.6,24362,"Jun 6, 2026, 01:35:18.336 PM",5,2,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
555555,555555_1780769625599,one_vial_alternating,0.1,game_config_555555_1780769625599,10,15,0,50,50,15,36,2,1.8,1.6,555555,"Jun 6, 2026, 02:13:45.599 PM",5,2,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
8283,8283_1780771267284,one_vial_alternating,0.1,game_config_8283_1780771267284,10,15,0,50,50,15,36,2,1.8,1.6,8283,"Jun 6, 2026, 02:41:07.284 PM",5,2,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
P08,P08_1780678871319,one_vial_always_bucket,0.2,game_config_P08_1780678871319,10,15,0,50,50,15,2,2,1.8,1.6,P08,"Jun 5, 2026, 01:01:11.319 PM",10,2,1.6,1.4,1.2,always,Single vial that always has storage but has abundance/deprivation phases,true,true,One Vial - Always Bucket,,1
katie,katie_1780687269133,one_vial_alternating,0.1,game_config_katie_1780687269133,10,15,0,50,50,15,2,2,1.8,1.6,katie,"Jun 5, 2026, 03:21:09.133 PM",10,2,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
katie10,katie10_1780950726612,one_vial_alternating,0.1,game_config_katie10_1780950726612,10,15,0,50,50,15,2,4,2.8,1.6,katie10,"Jun 8, 2026, 04:32:06.612 PM",10,1,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
katie11,katie11_1780950911599,one_vial_alternating,0.1,game_config_katie11_1780950911599,10,15,0,50,50,15,10,4,2.8,1.6,katie11,"Jun 8, 2026, 04:35:11.599 PM",10,1,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
katie13,katie13_1780951167917,one_vial_alternating,0.1,game_config_katie13_1780951167917,10,15,0,50,50,15,36,4,2.8,1.6,katie13,"Jun 8, 2026, 04:39:27.917 PM",10,1,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
katie14,katie14_1780951443354,one_vial_always_bucket,0.2,game_config_katie14_1780951443354,10,15,0,50,50,15,36,4,2.8,1.6,katie14,"Jun 8, 2026, 04:44:03.354 PM",10,1,1.6,1.4,1.2,always,Single vial that always has storage but has abundance/deprivation phases,true,true,One Vial - Always Bucket,,1
katie15,katie15_1780952703929,one_vial_alternating,0.1,game_config_katie15_1780952703929,10,15,0,50,50,15,36,4,2.8,1.6,katie15,"Jun 8, 2026, 05:05:03.929 PM",5,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
katie16,katie16_1780953612004,one_vial_alternating,0.1,game_config_katie16_1780953612004,10,15,0,50,50,15,36,4,2.8,1.6,katie16,"Jun 8, 2026, 05:20:12.004 PM",5,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
katie17,katie17_1780953929157,one_vial_alternating,0.1,game_config_katie17_1780953929157,10,15,0,50,50,15,36,4,2.8,1.6,katie17,"Jun 8, 2026, 05:25:29.157 PM",5,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
katie9,katie9_1780950594562,one_vial_alternating,0.1,game_config_katie9_1780950594562,10,15,0,50,50,15,2,4,2.8,1.6,katie9,"Jun 8, 2026, 04:29:54.562 PM",10,2,1.6,1.4,1.2,alternating storage/no storage,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,,1
step2h1,step2h1_1780860961646,one_vial_alternating,0.1,game_config_step2h1_1780860961646,10,15,0,50,50,15,36,2,1.8,1.6,step2h1,"Jun 7, 2026, 03:36:01.646 PM",5,2,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
steph,steph_1780771355861,one_vial_always_bucket,0.2,game_config_steph_1780771355861,10,15,0,50,50,15,36,2,1.8,1.6,steph,"Jun 6, 2026, 02:42:35.861 PM",5,2,1.6,1.4,1.2,constant,Single vial that always has storage but has abundance/deprivation phases,true,true,One Vial - Always Bucket,4,1
steph1,steph1_1780771434434,one_vial_always_bucket,0.2,game_config_steph1_1780771434434,10,15,0,50,50,15,36,2,1.8,1.6,steph1,"Jun 6, 2026, 02:43:54.434 PM",5,2,1.6,1.4,1.2,constant,Single vial that always has storage but has abundance/deprivation phases,true,true,One Vial - Always Bucket,4,1
test1,test1_1780954165543,one_vial_alternating,0.1,game_config_test1_1780954165543,10,15,0,50,50,15,36,2,1.8,1.6,test1,"Jun 8, 2026, 05:29:25.543 PM",5,10,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
test2,test2_1780954232166,one_vial_alternating,0.1,game_config_test2_1780954232166,10,15,0,50,50,15,36,2,1.8,1.6,test2,"Jun 8, 2026, 05:30:32.166 PM",5,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
test3,test3_1780954318847,one_vial_alternating,0.1,game_config_test3_1780954318847,10,15,0,50,50,15,36,2,1.8,1.6,test3,"Jun 8, 2026, 05:31:58.847 PM",5,1,1.6,1.4,1.2,alternating,Single vial that alternates between having storage and not,true,false,One Vial - Alternating Bucket,4,1
