userId,sessionId,gameVersion,timestamp,direction,isQuizSlide,msSincePreviousSlide,slideDocId,slideNumber
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:53:25.781,next,0,9800,tW6WzM1VosSDklCRUQFN,29
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:54:22.422,next,0,56638,B2nDjPUHDtYolmnK2mLl,30
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:54:41.240,next,0,18817,SCtxFWJ1yTHgp5Ng4nnr,31
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:54:58.206,next,0,16967,MeQeskFewDvLg8cEygIn,32
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:55:07.240,next,0,9032,g4CNxPZGBvRhSPPBi2pn,33
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:55:12.392,next,0,5149,7nSnB1RpYTsquMeWpGFU,34
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:55:19.375,next,0,6983,SQEdMls5Xy0G5o03nl2I,35
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:56:23.186,next,1,63216,DjqXpzpo45VjhsFRiggR,36
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:58:30.477,prev,0,127887,SJJ5S3dpwg3IG9bGC1xN,35
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:58:33.762,next,1,3284,WtRJLzA60Iknpq1j1RzH,36
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:59:18.617,redirect-correct,0,44854,61zRapgGuhnPIPZjCTol,37
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:59:35.773,next,0,17162,YBx333N4zNyoRreLX3VA,38
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:59:47.773,next,0,12002,OSNTXHkD1Bgr1OqBmOAI,39
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 19:59:59.885,next,1,12113,s6YvJAlxqIxv1BIbjCFA,40
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 20:00:07.151,redirect-correct,0,7259,dkvq5zM0nZSKIleGZmYe,41
5ce7fd368020d30018f9d7a5,5ce7fd368020d30018f9d7a5_1777664711588,one_vial_alternating,2026-05-01 20:00:10.815,next,0,3674,ENR7soGIpGffXCl50MAO,42
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:22.570,initial,0,,7Fds31jxDHEw7qBE2FN9,1
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:25.737,next,0,3217,Fqtkkd6BUrRScNMZiHIm,2
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:28.775,next,0,3037,xiB3XfHnyE2EhnusoKI3,3
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:37.981,next,0,9115,im4YgBQ3Dpbkq7sKMEBN,4
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:42.662,next,0,4776,Re5tDFFrcnTlHTiUSPlU,5
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:47.297,next,0,4610,FnECZ77EHHqF4hIXwddw,6
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:53.745,next,0,6471,syMBGapiboFKQoEUIRaS,7
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:06:56.804,next,0,3060,tX7O1CFQA5FC2v87kf9F,8
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:07:04.121,next,0,7317,ATBiGAIunioxSCt55Tao,9
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:07:17.819,next,0,13698,KAOcpUtsOQvmNSzZeFwr,10
5d4a41890e604c00011ade8b,5d4a41890e604c00011ade8b_1777665972066,one_vial_alternating,2026-05-01 20:07:26.184,next,0,8360,dB0uUoEozFulTBgoGGAo,11
